AD,Full-flowering date (DOY),Full-flowering date,Source code,Data type code,Reference Name
1900,102,412,4,0,NEWS-PAPER(ARASHIYAMA)
1901,102,412,4,0,NEWS-PAPER(ARASHIYAMA)
1902,98,408,4,0,KYOTO-TETUDO-KANRIKYOKU ADV(ARASHIYAMA)
1903,99,409,4,0,NEWS-PAPER(ARASHIYAMA)
1904,108,417,4,0,NEWS-PAPER(ARASHIYAMA)
1905,105,415,4,0,NEWS-PAPER(ARASHIYAMA)
1906,105,415,4,0,KYOTO-TETUDO-KANRIKYOKU ADV(ARASHIYAMA)
1907,103,413,4,0,KYOTO-TETUDO-KANRIKYOKU ADV(ARASHIYAMA)
1908,102,411,4,0,TETUDOUIN AVD(ARASHIYAMA)
1909,108,418,4,0,TETUDOUIN AVD(ARASHIYAMA)
1910,104,414,4,0,TETUDOUIN AVD(ARASHIYAMA)
1911,98,408,4,0,ARASHIYAMA-TETSUDO ADV(ARASHIYAMA)
1912,105,414,4,0,TETUDOUIN AVD(ARASHIYAMA)
1913,103,413,4,0,SEIBU-TETSUDO-KANRIKYOKU ADV(ARASHIYAMA)
1914,102,412,4,0,KOBE-TETSUDO-KANRIKYOKU ADV(ARASHIYAMA)
1915,102,412,4,0,NEWS-PAPER(ARASHIYAMA)
1916,112,421,4,0,SEIBU-TETSUDO-KANRIKYOKU ADV(ARASHIYAMA)
1917,103,413,4,0,NEWS-PAPER(ARASHIYAMA)
1918,104,414,4,0,SEKI-HAJIME-NIKKI
1919,,,,,-
1920,104,413,4,0,NEWS-PAPER(ARASHIYAMA)
1921,,,,,-
1922,101,411,4,0,KAJII-MOTOJIRO-SHOKAN
1923,97,407,4,0,NEWS-PAPER(ARASHIYAMA)
1924,111,420,4,0,MITAMURA-ENGYO-NIKKI(ARASHIYAMA)
1925,108,418,4,0,KEIHAN RAILWAY ADV(ARASHIYAMA)
1926,108,418,4,0,KEIHAN RAILWAY ADV(ARASHIYAMA)
1927,107,417,4,0,KEIHAN RAILWAY ADV(ARASHIYAMA)
1928,107,416,4,0,KEIHAN RAILWAY ADV(ARASHIYAMA)
1929,103,413,4,0,SHIN-KEIHAN RAILWAY ADV(ARASHIYAMA)
1930,95,405,4,0,SHIN-KEIHAN RAILWAY ADV(ARASHIYAMA)
1931,105,415,4,0,NEWS-PAPER(ARASHIYAMA)
1932,105,414,4,0,KEIHAN RAILWAY ADV(ARASHIYAMA)
1933,106,416,3,0,NEWS-PAPER(ARASHIYAMA)
1934,104,414,4,0,NEWS-PAPER(ARASHIYAMA)
1935,102,412,3,0,NHK(ARASHIYAMA)
1936,111,420,3,0,NHK(ARASHIYAMA)
1937,100,410,4,0,NEWS-PAPER(ARASHIYAMA)
1938,98,408,4,0,KEIHAN RAILWAY ADV(ARASHIYAMA)
1939,104,414,4,0,KEIHAN RAILWAY ADV(ARASHIYAMA)
1940,110,419,4,0,KEIHAN RAILWAY ADV(ARASHIYAMA)
1941,100,410,4,0,KEIHAN RAILWAY ADV(ARASHIYAMA)
1942,96,406,7,0,ASADA-TAKASHI-NIKKI
1943,101,411,7,0,ASADA-TAKASHI-NIKKI
1944,100,409,7,0,ASADA-TAKASHI-NIKKI
1945,,,,,-
1946,97,407,4,0,NEWS-PAPER(ARASHIYAMA)
1947,107,417,4,0,NEWS-PAPER(ARASHIYAMA)
1948,102,411,4,0,NEWS-PAPER(ARASHIYAMA)
1949,107,417,4,0,NEWS-PAPER(ARASHIYAMA)
1950,99,409,4,0,NEWS-PAPET(DAIGO-JI)
1951,98,408,4,0,NEWS-PAPER(ARASHIYAMA)
1952,105,414,3,0,NEWS-PAPER(ARASHIYAMA)
1953,101,411,3,0,NEWS-PAPER(ARASHIYAMA)
1954,98,408,3,0,NEWS-PAPER(ARASHIYAMA)
1955,97,407,3,0,NEWS-PAPER(ARASHIYAMA)
1956,99,408,3,0,NEWS-PAPER(ARASHIYAMA)
1957,103,413,3,0,NEWS-PAPER(ARASHIYAMA)
1958,99,409,3,0,NEWS-PAPER(ARASHIYAMA)
1959,92,402,3,0,NEWS-PAPER(ARASHIYAMA)
1960,95,404,3,0,NEWS-PAPER(ARASHIYAMA)
1961,99,409,3,0,NEWS-PAPER(ARASHIYAMA)
1962,102,412,3,0,NEWS-PAPER(ARASHIYAMA)
1963,101,411,3,0,NEWS-PAPER(ARASHIYAMA)
1964,99,408,3,0,NEWS-PAPER(ARASHIYAMA)
1965,110,420,3,0,NEWS-PAPER(ARASHIYAMA)
1966,97,407,3,0,NEWS-PAPER(ARASHIYAMA)
1967,97,407,3,0,NEWS-PAPER(ARASHIYAMA)
1968,99,408,3,0,NEWS-PAPER(ARASHIYAMA)
1969,101,411,3,0,NEWS-PAPER(ARASHIYAMA)
1970,107,417,3,0,NEWS-PAPER(ARASHIYAMA)
1971,98,408,3,0,NEWS-PAPER(ARASHIYAMA)
1972,99,408,3,0,NEWS-PAPER(ARASHIYAMA)
1973,97,407,3,0,NEWS-PAPER(ARASHIYAMA)
1974,99,409,3,0,NEWS-PAPER(ARASHIYAMA)
1975,100,410,3,0,NEWS-PAPER(ARASHIYAMA)
1976,99,408,3,0,NEWS-PAPER(ARASHIYAMA)
1977,93,403,3,0,NEWS-PAPER(ARASHIYAMA)
1978,104,414,3,0,NEWS-PAPER(ARASHIYAMA)
1979,97,407,3,0,NEWS-PAPER(ARASHIYAMA)
1980,102,411,3,0,NEWS-PAPER(ARASHIYAMA)
1981,99,409,3,0,NEWS-PAPER(ARASHIYAMA)
1982,93,403,3,0,NEWS-PAPER(ARASHIYAMA)
1983,99,409,3,0,NEWS-PAPER(ARASHIYAMA)
1984,109,418,3,0,NEWS-PAPER(ARASHIYAMA)
1985,99,409,3,0,NEWS-PAPER(ARASHIYAMA)
1986,102,412,3,0,NEWS-PAPER(ARASHIYAMA)
1987,95,405,3,0,NEWS-PAPER(ARASHIYAMA)
1988,106,415,3,0,NEWS-PAPER(ARASHIYAMA)
1989,93,403,3,0,NEWS-PAPER(ARASHIYAMA)
1990,88,329,3,0,NEWS-PAPER(ARASHIYAMA)
1991,97,407,4,0,NEWS-PAPER(ARASHIYAMA)
1992,94,403,4,0,NEWS-PAPER(ARASHIYAMA)
1993,97,407,4,0,NEWS-PAPER(ARASHIYAMA)
1994,99,409,4,0,NEWS-PAPER(ARASHIYAMA)
1995,99,409,4,0,NEWS-PAPER(ARASHIYAMA)
1996,103,412,4,0,NEWS-PAPER(ARASHIYAMA)
1997,97,407,4,0,NEWS-PAPER(ARASHIYAMA)
1998,91,401,4,0,NEWS-PAPER(ARASHIYAMA)
1999,94,404,4,0,NEWS-PAPER(ARASHIYAMA)
2000,100,409,4,0,NEWS-PAPER(ARASHIYAMA)
2001,96,406,4,0,NEWS-PAPER(ARASHIYAMA)
2002,91,401,4,0,NEWS-PAPER(ARASHIYAMA)
2003,98,408,4,0,NEWS-PAPER(ARASHIYAMA)
2004,92,401,4,0,NEWS-PAPER(ARASHIYAMA)
2005,99,409,4,0,NEWS-PAPER(ARASHIYAMA)
2006,98,408,5,0,NEWS-PAPER(ARASHIYAMA)
2007,97,407,5,0,NEWS-PAPER(ARASHIYAMA)
2008,95,404,6,0,NEWS-PAPER(ARASHIYAMA)
2009,95,405,6,0,NEWS-PAPER(ARASHIYAMA)
2010,95,405,7,0,NEWS-PAPER(ARASHIYAMA)
2011,99,409,8,0,NEWS-PAPER(ARASHIYAMA)
2012,101,410,8,0,NEWS-PAPER(ARASHIYAMA)
2013,93,403,8,0,NEWS-PAPER(ARASHIYAMA)
2014,94,404,8,0,NEWS-PAPER(ARASHIYAMA)
2015,93,403,8,0,NEWS-PAPER(ARASHIYAMA)
